dataset,sweep,panel,level,n_H_level,method,excess,se,tau,tau_se,n_H,n_L,n
arena_33k,llm_budget,large6,2000.0,300,consensus_cal,0.016804649542569085,0.00115626794407103,0.8233684210526316,0.00553162754288651,300.0,2000.0,50
arena_33k,llm_budget,large6,2000.0,300,dial_mu,0.01718793298694964,0.0012466010781718474,0.8265263157894738,0.006686168171592306,300.0,2000.0,50
arena_33k,llm_budget,large6,2000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,2000.0,50
arena_33k,llm_budget,large6,5000.0,300,consensus_cal,0.012373797333157298,0.0005934656314338179,0.8522105263157895,0.004409477968868873,300.0,5000.0,50
arena_33k,llm_budget,large6,5000.0,300,dial_mu,0.014336156168029097,0.0011161424110015122,0.8496842105263158,0.006492619430722222,300.0,5000.0,50
arena_33k,llm_budget,large6,5000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,5000.0,50
arena_33k,llm_budget,large6,20000.0,300,consensus_cal,0.01105581388490729,0.0005433486881503499,0.8631578947368422,0.004987405699782558,300.0,20000.0,50
arena_33k,llm_budget,large6,20000.0,300,dial_mu,0.012675471750868653,0.0009471523444224049,0.8572631578947368,0.006201325814414288,300.0,20000.0,50
arena_33k,llm_budget,large6,20000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,20000.0,50
arena_33k,llm_budget,small6,500.0,300,consensus_cal,0.1159585275917901,0.005748873183463873,0.5391578947368422,0.022442398677707802,300.0,500.0,50
arena_33k,llm_budget,small6,500.0,300,dial_mu,0.03656218870061104,0.002556510970080096,0.7402105263157895,0.011023448763229056,300.0,500.0,50
arena_33k,llm_budget,small6,500.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,500.0,50
arena_33k,llm_budget,small6,1000.0,300,consensus_cal,0.05731277315781025,0.006464896081395872,0.7088421052631579,0.009537249453650733,300.0,1000.0,50
arena_33k,llm_budget,small6,1000.0,300,dial_mu,0.028442047167659953,0.0021664348700790943,0.767578947368421,0.008966442044250112,300.0,1000.0,50
arena_33k,llm_budget,small6,1000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,1000.0,50
arena_33k,llm_budget,small6,2000.0,300,consensus_cal,0.022292507769537093,0.0010500501431658454,0.7808421052631579,0.008424757509394032,300.0,2000.0,50
arena_33k,llm_budget,small6,2000.0,300,dial_mu,0.021398711785103684,0.0013259792701457883,0.8107368421052632,0.007635130104555802,300.0,2000.0,50
arena_33k,llm_budget,small6,2000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,2000.0,50
arena_33k,llm_budget,small6,5000.0,300,consensus_cal,0.01582642262077659,0.0006670011481129788,0.8178947368421053,0.005818208157038531,300.0,5000.0,50
arena_33k,llm_budget,small6,5000.0,300,dial_mu,0.017246296566065262,0.001157764655860367,0.8244210526315789,0.00643243519292384,300.0,5000.0,50
arena_33k,llm_budget,small6,5000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,5000.0,50
arena_33k,llm_budget,small6,20000.0,300,consensus_cal,0.01319339318952858,0.0005920951179242618,0.8391578947368421,0.0060602809739841185,300.0,20000.0,50
arena_33k,llm_budget,small6,20000.0,300,dial_mu,0.014936140216117236,0.0011630106203321493,0.8427368421052631,0.0070942389712703715,300.0,20000.0,50
arena_33k,llm_budget,small6,20000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,20000.0,50
mt_bench,budget,all,-1.0,-1,consensus_cal,0.010668436710560529,0.0007519352511892794,0.9279999999999999,0.009493284414763513,421.7,22935.14,50
mt_bench,budget,all,-1.0,-1,dial_mu,0.01085385366174891,0.0007458958694491479,0.9226666666666666,0.00940111442228805,421.7,22935.14,50
mt_bench,budget,all,-1.0,-1,human_only,0.011325863220746208,0.0008484639293739566,0.8746666666666666,0.004523558890300159,421.7,22935.14,50
mt_bench,budget,all,20.0,-1,consensus_cal,0.03786237973184158,0.005301292959615666,0.9279999999999999,0.009493284414763513,20.0,22935.14,50
mt_bench,budget,all,20.0,-1,dial_mu,0.04946662385243518,0.00956492663182258,0.9279999999999999,0.009493284414763513,20.0,22935.14,50
mt_bench,budget,all,20.0,-1,human_only,2.9287701661424013,0.38053023717504164,0.5946666666666666,0.034488290431257215,20.0,22935.14,50
mt_bench,budget,all,40.0,-1,consensus_cal,0.023431234324189407,0.0024598546383384056,0.9279999999999999,0.009493284414763513,40.0,22935.14,50
mt_bench,budget,all,40.0,-1,dial_mu,0.041599275364013845,0.007838896663118555,0.9039999999999999,0.012657712553018015,40.0,22935.14,50
mt_bench,budget,all,40.0,-1,human_only,0.4589654765261305,0.10186069033227134,0.7413333333333333,0.022346680953999942,40.0,22935.14,50
mt_bench,budget,all,80.0,-1,consensus_cal,0.01490528356136475,0.0013301635717817071,0.9279999999999999,0.009493284414763513,80.0,22935.14,50
mt_bench,budget,all,80.0,-1,dial_mu,0.01679429764935801,0.001480718691582669,0.9253333333333333,0.010193590979245446,80.0,22935.14,50
mt_bench,budget,all,80.0,-1,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,22935.14,50
mt_bench,budget,all,160.0,-1,consensus_cal,0.013981167018257211,0.001537203676435259,0.9279999999999999,0.009493284414763513,160.0,22935.14,50
mt_bench,budget,all,160.0,-1,dial_mu,0.015677453596467817,0.0017846138770635808,0.9279999999999999,0.010915465738586212,160.0,22935.14,50
mt_bench,budget,all,160.0,-1,human_only,0.04038452197463862,0.015140552505635297,0.8666666666666666,0.017457431218879386,160.0,22935.14,50
mt_bench,budget,all,320.0,-1,consensus_cal,0.011620527802020615,0.0008850898770615002,0.9279999999999999,0.009493284414763513,320.0,22935.14,50
